Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Notch signaling pathway	2/59	0.024431924455603243	0.6463393839965763	0	0	8.710964912280701	32.333922486058974	ADAM17;DTX1
Hematopoietic cell lineage	2/99	0.06240729258529371	0.6463393839965763	0	0	5.108505154639175	14.171366945668227	CD1D;CD3E
Amoebiasis	2/102	0.06575389447221822	0.6463393839965763	0	0	4.9545	13.485338335602407	LAMA4;CD1D
Chagas disease	2/102	0.06575389447221822	0.6463393839965763	0	0	4.9545	13.485338335602407	ACE;CD3E
Coronavirus disease	3/232	0.07009489780014866	0.6463393839965763	0	0	3.2649936432480238	8.678043818029106	ADAM17;ACE;F13A1
Glycosaminoglycan degradation	1/19	0.07512348293632184	0.6463393839965763	0	0	13.64883401920439	35.3316731109601	GNS
Renin-angiotensin system	1/23	0.09021377426222102	0.6463393839965763	0	0	11.164983164983164	26.858183784022614	ACE
Prion disease	3/273	0.10187926716432	0.6463393839965763	0	0	2.7634317862165965	6.31158651464186	ATF6B;CAV3;COX6C
Mucin type O-glycan biosynthesis	1/36	0.13759718952450012	0.6463393839965763	0	0	7.0134038800705465	13.910559038473567	GCNT4
African trypanosomiasis	1/37	0.1411394117278351	0.6463393839965763	0	0	6.818244170096022	13.350170777011757	LAMA4
Primary immunodeficiency	1/38	0.14466726138259978	0.6463393839965763	0	0	6.633633633633633	12.824929429623495	CD3E
Tight junction	2/169	0.15265878221046927	0.6463393839965763	0	0	2.956736526946108	5.557334227271089	CD1D;MPDZ
Sphingolipid metabolism	1/49	0.18254133123122268	0.6463393839965763	0	0	5.11059670781893	8.691993815929068	CERS5
Cocaine addiction	1/49	0.18254133123122268	0.6463393839965763	0	0	5.11059670781893	8.691993815929068	ATF6B
Fanconi anemia pathway	1/54	0.19920450038996365	0.6463393839965763	0	0	4.627300256231074	7.465794242771092	POLH
Focal adhesion	2/201	0.1994301587966055	0.6463393839965763	0	0	2.477261306532663	3.994066567872887	CAV3;LAMA4
Diabetic cardiomyopathy	2/203	0.20241395988395317	0.6463393839965763	0	0	2.452363184079602	3.9175039575177566	ACE;COX6C
Human T-cell leukemia virus 1 infection	2/219	0.22645236482259945	0.6463393839965763	0	0	2.269700460829493	3.371006030079245	ATF6B;CD3E
Cortisol synthesis and secretion	1/65	0.2346915345965717	0.6463393839965763	0	0	3.829861111111111	5.551319514352276	ATF6B
Amphetamine addiction	1/69	0.24720695474341325	0.6463393839965763	0	0	3.603848946986202	5.036484927636775	ATF6B
Renin secretion	1/69	0.24720695474341325	0.6463393839965763	0	0	3.603848946986202	5.036484927636775	ACE
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.25030408677257576	0.6463393839965763	0	0	3.551440329218107	4.919024543187985	ADAM17
p53 signaling pathway	1/73	0.2595201601845837	0.6463393839965763	0	0	3.402949245541838	4.590309327715687	MDM4
PPAR signaling pathway	1/74	0.26256724486517047	0.6463393839965763	0	0	3.356164383561644	4.4880243070714245	FABP6
Thyroid hormone synthesis	1/75	0.2656019430180232	0.6463393839965763	0	0	3.310643977310644	4.389107923821362	ATF6B
Bacterial invasion of epithelial cells	1/77	0.2716343785566528	0.6463393839965763	0	0	3.223196881091618	4.200787058920032	CAV3
Complement and coagulation cascades	1/85	0.29527851021635526	0.6463393839965763	0	0	2.915049970605526	3.5558836701761365	F13A1
Insulin secretion	1/86	0.2981801959831634	0.6463393839965763	0	0	2.8806100217864925	3.485703158576593	ATF6B
Cardiac muscle contraction	1/87	0.3010700791771295	0.6463393839965763	0	0	2.8469710020097616	3.4175387812122002	COX6C
ECM-receptor interaction	1/88	0.3039482072286501	0.6463393839965763	0	0	2.814105293032496	3.3513122612780437	LAMA4
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.30681462733813913	0.6463393839965763	0	0	2.781986531986532	3.2869491736198495	CD3E
Hypertrophic cardiomyopathy	1/90	0.3096693865536634	0.6463393839965763	0	0	2.750589540851713	3.224378714694647	ACE
Small cell lung cancer	1/92	0.315344109523702	0.6463393839965763	0	0	2.68986568986569	3.104349313740142	LAMA4
Th1 and Th2 cell differentiation	1/92	0.315344109523702	0.6463393839965763	0	0	2.68986568986569	3.104349313740142	CD3E
Aldosterone synthesis and secretion	1/98	0.33209325178465665	0.6463393839965763	0	0	2.5227185948835436	2.780892280445717	ATF6B
Longevity regulating pathway	1/102	0.3430338177845722	0.6463393839965763	0	0	2.4223200097787556	2.5917037463214982	ATF6B
Protein digestion and absorption	1/103	0.34574118218749594	0.6463393839965763	0	0	2.3984507383200193	2.547310132957756	KCNE3
T cell receptor signaling pathway	1/104	0.34843752497689845	0.6463393839965763	0	0	2.375044947860482	2.5040011797406714	CD3E
Parathyroid hormone synthesis, secretion and action	1/106	0.35379732293855676	0.6463393839965763	0	0	2.329570840681952	2.4204964689786492	ATF6B
Th17 cell differentiation	1/107	0.3564608661628759	0.6463393839965763	0	0	2.307477288609364	2.3802339338527316	CD3E
TNF signaling pathway	1/112	0.3696167714855899	0.6463393839965763	0	0	2.202980758536314	2.1926015531455243	ATF6B
Toxoplasmosis	1/112	0.3696167714855899	0.6463393839965763	0	0	2.202980758536314	2.1926015531455243	LAMA4
Sphingolipid signaling pathway	1/119	0.3875897972006582	0.6463393839965763	0	0	2.071563088512241	1.9634434925726367	CERS5
Growth hormone synthesis, secretion and action	1/119	0.3875897972006582	0.6463393839965763	0	0	2.071563088512241	1.9634434925726367	ATF6B
Lysosome	1/128	0.4099559129657964	0.6463393839965763	0	0	1.9238845144356955	1.7155386999679891	GNS
Relaxin signaling pathway	1/129	0.41239067158442955	0.6463393839965763	0	0	1.9087577160493827	1.6907473251868823	ATF6B
Dopaminergic synapse	1/132	0.41963555832850225	0.6463393839965763	0	0	1.8647629818113278	1.6193017366851872	ATF6B
Oxidative phosphorylation	1/133	0.42203085688051944	0.6463393839965763	0	0	1.8505424616535728	1.5964201361502517	COX6C
PI3K-Akt signaling pathway	2/354	0.4274527599072229	0.6463393839965763	0	0	1.3896306818181818	1.181063097024786	ATF6B;LAMA4
Estrogen signaling pathway	1/137	0.4315147845641838	0.6463393839965763	0	0	1.7957516339869282	1.5092457564398556	ATF6B
Measles	1/139	0.4361989352169597	0.6463393839965763	0	0	1.7695473251028806	1.468117088445001	CD3E
Fluid shear stress and atherosclerosis	1/139	0.4361989352169597	0.6463393839965763	0	0	1.7695473251028806	1.468117088445001	CAV3
Alzheimer disease	2/369	0.4484145070509243	0.6463393839965763	0	0	1.3318119891008173	1.0681628057895747	ADAM17;COX6C
Adrenergic signaling in cardiomyocytes	1/150	0.46128836616303565	0.6463393839965763	0	0	1.6379981771480654	1.2673714555822893	ATF6B
Spliceosome	1/150	0.46128836616303565	0.6463393839965763	0	0	1.6379981771480654	1.2673714555822893	TRA2B
Non-alcoholic fatty liver disease	1/155	0.47232493445903656	0.6463393839965763	0	0	1.5844155844155845	1.1884512908284866	COX6C
Cushing syndrome	1/155	0.47232493445903656	0.6463393839965763	0	0	1.5844155844155845	1.1884512908284866	ATF6B
Hepatitis B	1/162	0.4874018134344042	0.655471404273854	0	0	1.5149911816578483	1.0887732845651334	ATF6B
cGMP-PKG signaling pathway	1/167	0.4979096953591162	0.6580113242090877	0	0	1.468987059348505	1.0243783723983106	ATF6B
Protein processing in endoplasmic reticulum	1/171	0.5061625570839136	0.6580113242090877	0	0	1.4341321713870734	0.9764968699493402	ATF6B
Alcoholism	1/186	0.5359345573811393	0.6852933684545716	0	0	1.3168501835168502	0.8213763734658154	ATF6B
Epstein-Barr virus infection	1/202	0.5657382867282686	0.6960429223855151	0	0	1.2110435476936305	0.689839104868386	CD3E
Viral carcinogenesis	1/203	0.5675369209066302	0.6960429223855151	0	0	1.204987165383205	0.6825643446542726	ATF6B
Proteoglycans in cancer	1/205	0.5711121414445253	0.6960429223855151	0	0	1.1930525296538368	0.6683118702056432	CAV3
Human immunodeficiency virus 1 infection	1/212	0.5833970097513693	0.7000764117016431	0	0	1.1530630156222574	0.6213710695466956	CD3E
Human cytomegalovirus infection	1/225	0.6052966366044537	0.7110211327816615	0	0	1.0854276895943562	0.5449244622973366	ATF6B
Thermogenesis	1/232	0.6166136299127872	0.7110211327816615	0	0	1.0521618299396076	0.5087335639065904	COX6C
Chemical carcinogenesis	1/239	0.627609984106673	0.7110211327816615	0	0	1.020852785558668	0.4755503353670517	ATF6B
Salmonella infection	1/249	0.6427805917986295	0.7110211327816615	0	0	0.9791915571485464	0.43275550921327305	ARL8B
Parkinson disease	1/249	0.6427805917986295	0.7110211327816615	0	0	0.9791915571485464	0.43275550921327305	COX6C
Endocytosis	1/252	0.6472115439422815	0.7110211327816615	0	0	0.9673405144852688	0.4208725198704238	CAV3
Huntington disease	1/306	0.7182909406022326	0.7724712493612359	0	0	0.7938878769479862	0.2626820829711648	COX6C
MicroRNAs in cancer	1/310	0.7229538615816694	0.7724712493612359	0	0	0.7834511966119302	0.25415930405589227	MDM4
Human papillomavirus infection	1/331	0.74621137677322	0.7865471268690697	0	0	0.7328095772540217	0.21452734513180718	LAMA4
Amyotrophic lateral sclerosis	1/364	0.7789197803798614	0.8100765715950559	0	0	0.6650681903207156	0.16616543587060906	COX6C
Pathways of neurodegeneration	1/475	0.8612443632382901	0.8839086885866663	0	0	0.5064332968693025	0.07564948736477706	COX6C
Herpes simplex virus 1 infection	1/498	0.8740527134611003	0.8854040474021534	0	0	0.48242541669771716	0.064941500765008	ZNF34
Pathways in cancer	1/531	0.8904146583862278	0.8904146583862278	0	0	0.45161891451199626	0.05241851160249901	LAMA4
