Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Complement and coagulation cascades	12/85	1.3613297843631566E-14	1.9603148894829455E-12	0	0	36.61874711405264	1169.1534450625409	FGA;C5;F9;C6;F10;CFHR1;CFI;F11;F13A1;C4BPA;F13B;CFB
Coronavirus disease	6/232	0.0011568079799799155	0.06584706943739052	0	0	5.497810898928738	37.17669654520141	FGA;C5;C6;F13A1;F13B;CFB
Staphylococcus aureus infection	4/95	0.0013718139466123024	0.06584706943739052	0	0	8.976096068879574	59.16702663358262	C5;CFI;DEFB4A;CFB
cAMP signaling pathway	5/216	0.004803807560225943	0.17293707216813395	0	0	4.859794628751975	25.943267325420283	CREB3L4;FSHB;CGA;AMH;CFTR
Thyroid hormone synthesis	3/75	0.006488050425644463	0.18685585225856052	0	0	8.42984693877551	42.46782550140471	ATF6B;CREB3L4;CGA
PI3K-Akt signaling pathway	6/354	0.0091475992019659	0.20013283755395556	0	0	3.5482758620689654	16.65654298999312	COL2A1;ATF6B;CREB3L4;DDIT4;FN1;FGFR4
PD-L1 expression and PD-1 checkpoint pathway in cancer	3/89	0.010372464332923121	0.20013283755395556	0	0	7.052562885619364	32.22034334378724	ALK;CSNK2A2;BATF
Salivary secretion	3/93	0.011682266280731214	0.20013283755395556	0	0	6.737755102040817	29.980876286423022	CST2;CST1;CST4
Prion disease	5/273	0.012508302347122222	0.20013283755395556	0	0	3.8151041666666665	16.715354967996095	C5;C6;ATF6B;CREB3L4;CSNK2A2
Vasopressin-regulated water reabsorption	2/44	0.020813424812306434	0.28204706263873613	0	0	9.55122655122655	36.98384948247644	DCTN2;CREB3L4
AMPK signaling pathway	3/120	0.022941527407182957	0.28204706263873613	0	0	5.175824175824176	19.537735190996397	CREB3L4;FBP1;CFTR
Cocaine addiction	2/49	0.02545675356972742	0.28204706263873613	0	0	8.532989469159682	31.32267763485501	ATF6B;CREB3L4
Human cytomegalovirus infection	4/225	0.027311925301299653	0.28204706263873613	0	0	3.6717824322433175	13.220002407783776	ATF6B;CCL4L1;CREB3L4;B2M
Ovarian steroidogenesis	2/51	0.027421242200988235	0.28204706263873613	0	0	8.18387961245104	29.43280992262017	FSHB;CGA
Glycosaminoglycan biosynthesis	2/53	0.029444870788325674	0.2826707595679265	0	0	7.86215092097445	27.71593393263708	CHST6;CHST11
Riboflavin metabolism	1/8	0.039699708710484755	0.35103295875682144	0	0	28.417142857142856	91.68539448196991	ACP5
Cortisol synthesis and secretion	2/65	0.04275355931318077	0.35103295875682144	0	0	6.360750360750361	20.051011352159435	ATF6B;CREB3L4
Cushing syndrome	3/155	0.04387911984460268	0.35103295875682144	0	0	3.976973684210526	12.433279252410815	ARMC5;ATF6B;CREB3L4
Amphetamine addiction	2/69	0.04760340211024601	0.36072216337170354	0	0	5.97979797979798	18.2075941419954	ATF6B;CREB3L4
Adherens junction	2/71	0.050100300468292155	0.36072216337170354	0	0	5.805884936319719	17.381241886769885	CDH1;CSNK2A2
PPAR signaling pathway	2/74	0.053932276516543254	0.36228349592725806	0	0	5.563131313131313	16.244488955234875	FABP3;FABP6
Pertussis	2/76	0.05654298369447659	0.36228349592725806	0	0	5.412230412230413	15.548007413847964	C5;C4BPA
