Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phospholipase D signaling pathway	6/148	1.1139169945089601E-4	0.017154321715437987	0	0	8.695422535211268	79.14971619698557	KITLG;CYTH4;EGF;FYN;F2;HRAS
Pathogenic Escherichia coli infection	5/197	0.0033932000077379265	0.19233663212907584	0	0	5.290485395189004	30.081603922832603	CYTH4;FYN;ARHGEF2;EZR;F2
Platelet activation	4/124	0.0037468175090079707	0.19233663212907584	0	0	6.727210884353742	37.58390779345558	FYN;GP6;F2;GP5
RNA degradation	3/79	0.007694140081536769	0.20937867937896235	0	0	7.9035087719298245	38.46871875148528	EDC4;CNOT1;EXOSC1
Folate biosynthesis	2/26	0.007728760552028428	0.20937867937896235	0	0	16.561666666666667	80.53618481890834	DHFR;ALPL
Collecting duct acid secretion	2/27	0.00831949464007076	0.20937867937896235	0	0	15.8984	76.13988223925524	ATP4B;CLCNKB
JAK-STAT signaling pathway	4/162	0.009537357260287926	0.20937867937896235	0	0	5.099457504520796	23.72542414676911	CSH2;EGF;CSH1;HRAS
Galactose metabolism	2/31	0.01087681451319285	0.20937867937896235	0	0	13.702758620689655	61.95184159900207	GALE;GCK
Hematopoietic cell lineage	3/99	0.014186571816655488	0.21505593733011874	0	0	6.250631313131313	26.599307830499722	KITLG;ANPEP;GP5
Mucin type O-glycan biosynthesis	2/36	0.014495247518160977	0.21505593733011874	0	0	11.684705882352942	49.472278664136425	GALNT1;GCNT4
Pancreatic secretion	3/102	0.015361138380722767	0.21505593733011874	0	0	6.060299969390878	25.30729415703534	CPA2;CELA3B;CLCA2
Cytokine-cytokine receptor interaction	5/295	0.017622656561856475	0.2198501501285412	0	0	3.4852470671880553	14.075413900143337	CSH2;IL26;CSH1;IL31RA;AMH
Bladder cancer	2/41	0.018558778906954777	0.2198501501285412	0	0	10.184102564102565	40.60210582978711	EGF;HRAS
Growth hormone synthesis, secretion and action	3/119	0.02303066181461231	0.22158425767487538	0	0	5.167711598746082	19.487072645071017	CSH2;CSH1;HRAS
Amino sugar and nucleotide sugar metabolism	2/48	0.024949348712210842	0.22158425767487538	0	0	8.631304347826086	31.85734647733977	GALE;GCK
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.02524355128901587	0.22158425767487538	0	0	49.242574257425744	181.17251842856115	GCK
Regulation of actin cytoskeleton	4/218	0.02548608738678424	0.22158425767487538	0	0	3.7543391188251003	13.777007559802703	EGF;EZR;F2;HRAS
Cysteine and methionine metabolism	2/50	0.02691772640191098	0.22158425767487538	0	0	8.270833333333334	29.898816321570965	GOT1;BHMT2
Purine metabolism	3/129	0.02835149858173841	0.22158425767487538	0	0	4.755170755170755	16.943031893849575	GDA;IMPDH2;ENTPD6
Natural killer cell mediated cytotoxicity	3/131	0.02948749193176837	0.22158425767487538	0	0	4.6803977272727275	16.49273453183364	ICAM2;FYN;HRAS
Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	0.03021603513748301	0.22158425767487538	0	0	39.392079207920794	137.84795382798865	GOT1
PI3K-Akt signaling pathway	5/354	0.03497527104426185	0.23202838714484011	0	0	2.8873364251321894	9.681568215239027	KITLG;CSH2;EGF;CSH1;HRAS
Endometrial cancer	2/58	0.035383994750707484	0.23202838714484011	0	0	7.086428571428572	23.679270506020032	EGF;HRAS
Apoptosis	3/142	0.03616026812646859	0.23202838714484011	0	0	4.307608458687596	14.300374130479732	BCL2A1;CASP10;HRAS
Cell adhesion molecules	3/148	0.04010014581190933	0.24701689820136147	0	0	4.128108672936259	13.277546806308951	CDH3;ICAM2;CDH15
Acute myeloid leukemia	2/67	0.04595976003474842	0.25157093012021353	0	0	6.102461538461538	18.795514699367523	BCL2A1;HRAS
Fc epsilon RI signaling pathway	2/68	0.04719864498475159	0.25157093012021353	0	0	6.00969696969697	18.349949199739168	FYN;HRAS
Renin secretion	2/69	0.04844971249705198	0.25157093012021353	0	0	5.919701492537313	17.9202912876736	EDN3;CLCA2
Central carbon metabolism in cancer	2/70	0.049712808802500015	0.25157093012021353	0	0	5.83235294117647	17.50576452422357	HRAS;GCK
Prolactin signaling pathway	2/70	0.049712808802500015	0.25157093012021353	0	0	5.83235294117647	17.50576452422357	HRAS;GCK
Melanoma	2/72	0.05227447898601839	0.25157093012021353	0	0	5.6651428571428575	16.719235864590853	EGF;HRAS
Non-small cell lung cancer	2/72	0.05227447898601839	0.25157093012021353	0	0	5.6651428571428575	16.719235864590853	EGF;HRAS
Glioma	2/75	0.056203426644554716	0.26060212968332025	0	0	5.431506849315069	15.636099989268667	EGF;HRAS
Gastric acid secretion	2/76	0.05753553512488888	0.26060212968332025	0	0	5.357837837837838	15.298515771440583	ATP4B;EZR
Axon guidance	3/182	0.06627409631709373	0.28471734054732534	0	0	3.3382427628237683	9.059844517256348	EFNB1;FYN;HRAS
ErbB signaling pathway	2/85	0.0700018390321402	0.28471734054732534	0	0	4.774698795180723	12.697040255712299	EGF;HRAS
Colorectal cancer	2/86	0.07143746073477412	0.28471734054732534	0	0	4.717619047619047	12.44948005343785	EGF;HRAS
Thiamine metabolism	1/15	0.07385304727236812	0.28471734054732534	0	0	14.062234794908063	36.6416559464346	ALPL
ECM-receptor interaction	2/88	0.07433735856064369	0.28471734054732534	0	0	4.607441860465117	11.975394023897678	GP6;GP5
Gap junction	2/88	0.07433735856064369	0.28471734054732534	0	0	4.607441860465117	11.975394023897678	EGF;HRAS
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.07580136988597623	0.28471734054732534	0	0	4.554252873563218	11.74832793739907	EGF;HRAS
Phenylalanine metabolism	1/17	0.08328292883718645	0.2870641958847294	0	0	12.303217821782178	30.57979168054389	GOT1
Focal adhesion	3/201	0.08356968503730063	0.2870641958847294	0	0	3.014998469543924	7.483450649425726	EGF;FYN;HRAS
Prostate cancer	2/97	0.08783390418961914	0.2870641958847294	0	0	4.169052631578947	10.14041881906813	EGF;HRAS
Choline metabolism in cancer	2/98	0.08937613566563447	0.2870641958847294	0	0	4.125416666666666	9.962475190601934	EGF;HRAS
Rap1 signaling pathway	3/210	0.09237357343043388	0.2870641958847294	0	0	2.8825940565071	6.866092128459759	KITLG;EGF;HRAS
Glycosaminoglycan degradation	1/19	0.09261772960228992	0.2870641958847294	0	0	10.935093509350935	26.017591233462856	ARSB
Melanogenesis	2/101	0.09405077122227563	0.2870641958847294	0	0	3.9997979797979797	9.45520453285114	KITLG;HRAS
Neuroactive ligand-receptor interaction	4/341	0.09694494337693456	0.2870641958847294	0	0	2.369163689214558	5.5287089470148985	EDN3;CSH2;CSH1;F2
Protein digestion and absorption	2/103	0.09720595396627248	0.2870641958847294	0	0	3.92019801980198	9.137680962184412	CPA2;CELA3B
One carbon pool by folate	1/20	0.09724977164099889	0.2870641958847294	0	0	10.359041167274622	24.14146206514577	DHFR
cAMP signaling pathway	3/216	0.09844869237086458	0.2870641958847294	0	0	2.8005406174420258	6.492268587254964	EDN3;CNGA2;AMH
T cell receptor signaling pathway	2/104	0.09879482066162766	0.2870641958847294	0	0	3.88156862745098	8.984706098256526	FYN;HRAS
Arginine biosynthesis	1/22	0.10644372781945091	0.30356174229991556	0	0	9.371522866572372	20.9935120892893	GOT1
Renin-angiotensin system	1/23	0.11100587575178392	0.3108164521049949	0	0	8.945094509450945	19.66285757943244	ANPEP
Cholinergic synapse	2/113	0.11341238709229966	0.31180263292043386	0	0	3.5652252252252254	7.760513666329722	FYN;HRAS
Ras signaling pathway	3/232	0.11540746802899175	0.31180263292043386	0	0	2.602752414979489	5.620087404769793	KITLG;EGF;HRAS
Sphingolipid signaling pathway	2/119	0.12344888474568615	0.3251080672832642	0	0	3.381367521367521	7.0735777252077305	FYN;HRAS
Maturity onset diabetes of the young	1/26	0.12455438941371809	0.3251080672832642	0	0	7.87049504950495	16.39434189671731	GCK
Pathways in cancer	5/531	0.13517624089124078	0.34695235162085136	0	0	1.8983967700207753	3.7990257962126117	KITLG;EGF;F2;HRAS;CKS1B
Endocytosis	3/252	0.13802373454143704	0.3484533626128083	0	0	2.391262017768042	4.735487001012679	CYTH4;HRAS;ARFGAP1
FoxO signaling pathway	2/131	0.1441209130081196	0.35797775166532936	0	0	3.0649612403100774	5.937144565478081	EGF;HRAS
