Molecule	Protein	UniProt	Gene	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
10000-28	CRBB2	P43320	CRYBB2	615.7	765	1258.6	768	883.5	681.4	613.9	831.1	632.2	476.5	1005.6	634.1	599.2	1676.9	469.2	1755.1	522.4	447.4	619.7	430.9	543.6	495.6	55036.1	491.6	543.7	639	866.6	1878.2	519.2	565.7	518.9	547.8	1630.5	759.8	508.2	763.5	588.9	542.2	671.4	962.2
10001-7	c-Raf	P04049	RAF1	282.7	296.7	545.2	294.1	287.7	299.5	237.5	323.5	273.6	289.5	517.4	260.5	273.5	301.7	224.6	529.6	286.9	282.8	347.9	199.6	234.6	266.2	262.5	226.8	245.7	328.4	463	394.2	246.1	284.2	267.8	253	317.4	349.4	210.7	339.8	232.5	274.7	337.8	271.8
10003-15	ZNF41	P51814	ZNF41	141.9	145	239.4	132	279.1	162	119.2	133.1	128.5	138.3	550.4	102.8	139.9	195.3	134.8	206.5	802.9	100	119.5	105.2	108.6	121	242.3	152.2	105.5	122.2	152.6	133	940	130.1	114.4	113.4	122	156.8	129	141.6	171.6	136.7	153.9	154.9
10006-25	ELK1	P19419	ELK1	817.6	782	1103.6	804.6	885.5	711.6	666.5	771.8	696.3	651.9	1093.2	621.2	663.2	699.4	591.8	1383.1	577	648	769.3	527.5	661.1	664.6	807.9	630.4	612.5	831.5	968.9	985.6	632.1	653.1	2690.4	1781.2	1111.2	847.5	567.3	874.3	640.5	672.8	794.1	688.2
10008-43	GUC1A	P43080	GUCA1A	648.5	586.3	1000.1	664.5	681.7	532	518.7	682.3	623.6	525	587.3	526.5	602.2	1829.2	481	810	484.9	546.9	586.9	529.1	456.9	636.1	621.3	592.6	518.9	603.9	756.9	616.7	557.8	483.6	589.5	566.2	685.2	643.5	690.5	691.9	454.5	591.3	659.9	672.9
10011-65	OCRL	Q01968	OCRL	2867.1	3595.7	5684.2	2956.5	6116.6	2993.5	3204.3	3281.6	2644.3	2411.2	3646	2312.6	2485.7	2628.3	2311.5	4907.5	2459.8	1972.3	3168.1	1850.6	2160	2983.9	4500.7	2144	2738.6	3485.4	3230.4	2770.3	3418.7	2928	5227.6	2497.4	4145.9	3352.8	3615.2	3992	2733.4	2661.1	3708.3	3899.2
10012-5	SPDEF	O95238	SPDEF	2487	2206.9	4493	2491.8	3279.1	2012.6	2345.6	2677.6	2061.6	1678.9	3107.5	1251.8	1715.3	2027	1360.4	4606	1449.2	1415.4	2262	1173.1	1302.3	2310.4	3563.8	1496.4	1670.4	2027.6	2307.2	1823.6	2154.4	1900.8	1440.9	1347.1	1734.4	2502.6	2222.3	2569.5	2085	2026.1	2302.4	2380.4
10013-34	Fc_MOUSE	Q99LC4		675.8	671.9	1389.8	683.2	897.7	571	645	809.2	603.2	533.5	861.7	394.4	533.9	668.1	416.5	1364.2	522.3	417.1	598.6	391.6	409.9	543	1056.8	451.9	511.8	809.5	678.9	527.8	577.3	569.1	533.5	456.8	564.5	759.3	671.3	731.4	654.1	5102.5	718.3	740.4
10014-31	SLUG	O43623	SNAI2	1025.2	1127.8	1909.6	1055.1	1391.1	1004	1001.9	1310.7	910.6	838.7	1365.8	678.2	1038.1	1109.9	758.6	1954.8	828.3	835.5	1000.2	690.8	747.7	852	1326.8	884.8	838.2	993.9	1225.4	996.6	922	994.4	848.2	6201.3	1040.3	1256.9	1086.5	1382.3	1047.4	1177.1	1403.4	1064.9
10015-119	KCAB2	Q13303	KCNAB2	562.4	596.7	1075.4	625.4	606.8	770.5	547.6	684.8	528.5	537.9	933	422.6	636.8	707.6	430.6	1069.6	441.4	478	566.6	402	515.4	523.5	620.1	444.8	523	660.5	835.2	755.9	454.1	516	493.2	554.9	572.7	711.1	447.7	759.7	496.5	532.6	701.8	576.8
10021-1	Fc_MOUSE	Q99LC4		1899.4	1442.6	2358.6	1101.7	1358.2	1284.2	1394.6	1414.6	1081.6	1040.1	2040.5	677.6	928.6	1099.7	801.1	3158.6	814.5	720	1111.6	781.7	791.2	796	1514.6	804.4	1007.1	1131	1398.4	1389.2	1148.6	975.2	969.2	2285	818.7	1384.3	886.9	1260.9	1109.8	981.8	1168	1185.2
10022-207	POLH	Q9Y253	POLH	376.2	236.1	295.9	204.8	253.5	190.6	167.1	202.2	208.2	162.7	216.3	166.2	203.9	201.6	146.9	250.9	176.8	169	177	156.3	196.5	199.8	215.1	171.6	161.4	216.8	218.8	227.4	156.5	185.1	203.5	256.5	207.8	285.4	269.6	253.1	192.4	188.6	213.1	637.1
10023-32	VDR	P11473	VDR	690.3	687.7	1532.5	660.2	929.9	642.3	659.3	918.8	696.3	572	1016.2	414.2	641	689.2	433.9	1755.9	436.1	376.7	621	398.3	394.3	491.6	1109	423.5	516	586.2	786.5	534	516.2	638	443	447.4	538.7	836.9	634.5	750.5	726.8	646.2	881.5	762.2
10024-44	HOGA1	Q86XE5	HOGA1	1320.6	1241.9	2413.7	1263.9	1361.7	1084.2	1157.1	1425.7	1068.5	893.7	1719.6	741.6	934.2	1073.9	736.1	2517	913.7	701.2	1125.9	594	783.6	820.6	1552.7	817.2	1131.3	1085	1351.4	1071.2	906.2	984.5	771.3	781.4	877.7	1366.5	1106.6	1285.5	1034.6	937.1	1153.2	1131.8
10030-8	MutY homolog	Q9UIF7	MUTYH	168.4	185.4	329.7	178.9	491.6	233.7	170.8	217.4	172.6	161.1	229.1	139.3	210.2	187.9	148.9	549	149.8	192.4	219.1	155.7	173.7	197	227.8	167.5	214	243.3	226.6	179.5	149.4	168	170	303.5	164.9	230.4	150.7	208.2	164.9	158.5	267.9	177.7
